movieId,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
19176,11310,14854,22317,13503,14342,10380,35588,9023,28736,6038,11853,9588,13496,38765,10733,33638,15263,20287,12160,12146,9086,21717,18660,44896,65796,2023,18069,22328,19317,12106,30114,44853,9945,6644,1363,11145,8487,14676,49849,22356,11259,22267,34444,57201,21866,21355,34130,10212,11967,16211,20391,17538,8388,8584,2362,32093,13965,9359,1406,4512,2055,11209,35115,4929,11509,11574,16608,8053,20533,22660,8879,11694,188161,13936,11943,17529,11916,12501,12690,82633,5176,11901,11969,15573,391,301,24266,11617,938,333484,281957,581,966,273248,12584,6643,1712,10747,68718,21027
581,23108,324560,215379,223485,43253,2055,27945,16661,152748,14551,384680,453278,5176,44264,338766,9588,8053,11509,440161,11916,281957,43885,10747,43258,1406,22660,24266,37301,980,30054,294963,8879,938,14168,264656,14384,28356,1712,11943,6643,966,642,21027,291356,20442,33638,22383,28303,11897,391,13909,68718,68818,10772,995,43805,2023,13249,537996,16211,16608,273248,26593,14554,82633,11969,29353,108266,336,15573,18972,33,12501,11040,43417,30462,44896,11577,11694,4929,301,11697,11901,9359,6609,23330,22201,27277,4512,49397,21717,14674,12584,17529,11259,14676,15263,14241,14837,29244
938,391,429,335,33015,11901,16661,1810,10747,301,966,6643,22201,4929,18264,33,9028,40639,324560,42261,980,43253,11697,642,8879,16608,44264,18721,12625,30054,995,288,27644,14168,3090,37347,43002,14554,576,11617,3088,15573,11509,22383,223485,42136,5698,3089,20442,30462,338766,14729,538225,27945,14676,11040,68718,13041,1712,294963,24748,8053,8043,2055,14241,273248,32093,12584,42491,11943,17529,33638,264656,11916,11574,17804,5176,38732,26502,18647,26596,16211,21717,11969,26444,9394,537996,17664,13909,6644,3114,922,11072,31591,29005,4512,26928,26593,10772,21242,6529
9086,14854,11967,64963,13965,32014,20238,12146,35200,10046,19317,188161,1969,6038,39833,8043,333484,22613,163907,18972,22328,32617,38665,27277,10733,18069,35588,38765,2023,19176,9394,11310,20533,12639,30708,11259,9474,108266,44853,9359,49849,10380,13249,11145,12106,34444,17538,65796,14881,6523,4993,30462,31665,11853,14117,12160,13496,18660,42136,17804,13503,1406,150823,28736,9588,9945,13637,14342,14676,18118,5917,12690,17664,37917,21717,8584,18647,9023,60285,33015,42861,22317,4512,8388,13041,30114,35115,26593,10772,20287,5176,10935,57201,1718,15263,11509,537996,11916,273248,20391,6643
281957,278878,12501,14729,18264,384680,8043,27945,44264,11577,338766,11574,215379,5176,16608,24266,68818,15263,21027,82633,44853,14676,273248,22383,12584,17409,294963,68718,13249,6643,391,10772,264656,11943,4929,43002,642,20442,440161,266285,537996,31416,11969,33,301,24748,11509,1712,2362,5698,36206,8053,2055,11916,453278,15067,333484,4512,10747,938,22267,14168,17529,966,14554,11040,223485,429,538225,468210,3090,17538,581,11536,11897,9394,11901,11697,32093,291356,576,3110,922,11072,14881,335,10212,16211,9588,35588,14551,22201,22660,9359,44896,13041,26596,152748,995,399019,23330
6038,8584,46528,28356,13965,27277,13249,43258,152748,9588,16211,19317,266285,30462,2023,13637,44853,1969,9086,30708,49849,18069,264656,12146,19176,10733,28736,1406,6523,38765,8043,17804,9359,20238,8388,13496,9945,9023,20533,10046,35200,26593,11853,21866,11967,333484,384680,12106,10380,57201,14342,5921,12690,12160,22328,13063,11916,14676,11310,14729,440161,33638,11259,11145,21027,44896,11574,18660,8487,35588,188161,65796,31665,22317,15263,33015,22267,14854,21355,17538,11694,22660,2362,16972,82633,29353,13503,11209,163907,24266,17382,32093,1936,11897,14881,10212,12584,21717,5176,17529,16563
11969,30718,68818,453278,14241,27644,12766,16661,43253,29244,22383,18264,21242,15573,14729,51997,13909,538225,440161,73194,2055,11617,5176,12584,5927,6529,21027,29715,14551,22575,27277,44264,42402,17804,26593,338766,9474,223485,14554,11509,18287,11916,9588,8879,264656,23330,27945,37292,22201,22356,30462,174751,10772,43805,4929,966,39435,16211,14676,324560,5917,14674,108266,30054,6644,11574,33638,938,37347,14677,32093,980,13063,281957,10747,8053,11967,21717,14168,42491,68718,15067,14881,336,391,1810,16608,49397,1403,17382,11901,9359,42261,333484,995,152748,28303,537996,301,5698,24266
10212,399019,34130,9028,264656,14676,15846,11145,14881,10772,13249,17664,42233,10935,65796,9394,32275,8053,537996,11536,22267,338766,23330,2055,273248,12690,24266,44896,384680,20287,42861,44264,333484,33638,14854,1363,12160,11617,13041,9474,281957,15263,35588,2023,6643,14551,294963,20442,57120,43258,9588,21717,11509,5176,11916,13063,13909,12584,301,82633,17538,14554,16608,18118,14168,938,966,336,12106,21027,9023,14117,11967,10733,223485,22201,11694,42252,11901,2362,8879,1406,11209,11969,8584,4512,26596,19176,6038,15573,22383,12146,14729,11577,11259,9359,17529,68718,391,922,12501
33,6643,20848,44264,338766,17409,938,391,14674,429,11697,10747,37327,14837,16661,3088,14554,453278,538225,14241,324560,3089,301,966,995,3090,43253,335,11901,223485,68718,215379,288,5176,18264,18721,8879,16608,642,576,51997,22383,294963,27945,273248,8053,3114,17660,2055,42136,537996,20442,980,281957,21027,15573,336,37347,61044,24748,31416,11509,37301,25770,12584,6529,12501,14168,9028,6609,43260,14551,11040,4929,11969,26593,11574,11617,26596,384680,43829,43002,3110,8043,22201,11916,14676,13909,42261,264656,1712,4512,11072,42491,30054,25599,38732,11943,71940,43258,27644
8879,14674,42402,30054,266285,15573,73194,11617,29715,18721,11901,14168,11916,22383,6643,27277,17409,9474,14241,5698,18639,38732,14676,17382,4929,14729,42136,22201,9394,11897,16211,49397,21242,264656,29244,10747,26593,20442,30462,3088,40639,6529,11509,14551,33638,1810,2055,37347,5921,995,27945,966,37292,391,14677,12584,301,21027,8043,336,11209,1936,938,42261,16608,34130,980,43828,17664,32617,14881,13965,5176,6644,26596,3089,5917,17529,43002,11577,18287,24266,44264,38765,18647,23330,36206,21717,223485,32275,12690,14554,12501,12766,26928,17804,15263,18264,8053,11969,14710
273248,278878,61044,453278,43828,17409,14729,22383,68718,43258,324560,10772,20442,44264,338766,6529,537996,16608,45227,6609,223485,391,12584,82633,22201,17664,6643,281957,5176,11577,11509,17538,938,15573,11574,264656,42701,3090,25599,18264,11897,12690,33,22267,38732,9028,13249,429,14551,2055,14168,336,11916,248933,17529,15067,27945,33638,335,966,384680,9394,23330,4512,11536,8053,32093,11901,642,10212,26596,440161,152748,11969,538225,11040,294963,576,20848,288,2362,922,4929,8879,9474,291356,68818,14676,10747,333484,11694,995,11072,301,29005,3114,3110,13041,3089,581,9359
8487,354110,10213,1969,20533,22317,30114,12625,49849,57201,11853,11310,46528,13496,22613,10733,6038,34444,13503,174751,188161,17691,80304,291356,14342,64963,38978,19176,1936,28736,150823,347969,38665,108266,4993,333484,12639,22328,14854,66035,10380,13249,19317,15846,9086,35200,9023,32014,43329,163907,27277,2023,8584,29715,18972,215379,9945,21866,12146,13965,20391,6523,10046,28356,39833,12106,30708,35588,18118,17804,399019,30462,11209,18660,30718,65796,12160,12690,42252,324560,21355,82633,14117,19014,9588,42233,152748,60285,6529,20287,9359,44896,14881,26593,38765,14676,8388,15263,11145,11897,11967
4512,453278,30054,31416,21027,5921,14837,32617,43258,152748,16608,29244,73194,33015,49397,14674,42402,31591,32093,11617,440161,6644,44264,22201,14710,38732,8053,27945,22383,223485,11916,43002,6609,24748,12690,537996,17664,26596,264656,29005,11697,8043,27277,18647,6523,6529,18721,43253,922,338766,11897,5176,15573,336,10772,995,11943,20442,1810,14168,391,966,5917,13249,30462,288,17529,938,17409,3114,33638,18264,14729,576,14676,281957,273248,23330,15067,11209,68718,3110,354110,384680,12766,2055,25599,11040,642,1712,37347,14881,10046,14854,5698,38765,399019,13909,43828,14241,6643
