,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,overview,poster_path,production_companies,production_countries,release_date,revenue,runtime,status,title
0,False,/dji4Fm0gCDVb9DQQMRvAI8YNnTz.jpg,Toy Story Collection,30000000,"Animation,Comedy,Family",http://toystory.disney.com/toy-story,862,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,Pixar,US,1995-10-30,373554033,81,Released,Toy Story
1,False,/7k4zEgUZbzMHawDaMc9yIkmY1qR.jpg,Jumanji Collection,65000000,"Adventure,Fantasy,Family",http://www.sonypictures.com/movies/jumanji/,8844,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,"TriStar Pictures,Interscope Communications,Teitler Film,Sony Pictures",US,1995-12-15,262797249,104,Released,Jumanji
2,False,/1ENbkuIYK2taNGGKNMs2hw6SaJb.jpg,Grumpy Old Men Collection,0,"Romance,Comedy",,15602,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,"Lancaster Gate,Warner Bros. Pictures",US,1995-12-22,0,101,Released,Grumpier Old Men
3,False,/u0hQzp4xfag3ZhsKKBBdgyIVvCl.jpg,,16000000,"Comedy,Drama,Romance",,31357,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg,20th Century Fox,US,1995-12-22,81452156,127,Released,Waiting to Exhale
4,False,/wKQlgHjJwh5mGBZ37vDsXBx9zbh.jpg,Father of the Bride Collection,0,Comedy,,11862,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",/e64sOI48hQXyru7naBFyssKFxVd.jpg,"Touchstone Pictures,Sandollar Productions",US,1995-12-08,76578911,106,Released,Father of the Bride Part II
5,False,/7RRuRcGuWkZGuRyYugfXn0Fgrrr.jpg,,60000000,"Action,Crime,Drama,Thriller",,949,"Obsessive master thief, Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",/6pmLVffM9jEYK7VqDJqPblMxfEY.jpg,"Forward Pass,Regency Enterprises,Warner Bros. Pictures",US,1995-12-15,187436818,170,Released,Heat
6,False,/hSy5yZG18ogNQn1tHSlxSqV24cf.jpg,,58000000,"Comedy,Romance",,11860,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,"Worldwide,Paramount,Mirage Enterprises,Sandollar Productions,Constellation Entertainment,Mont Blanc Entertainment GmbH,Scott Rudin Productions","DE,US",1995-12-15,53672080,127,Released,Sabrina
7,False,/bTM21GCjY4hLpxneXA3cmJZnfG3.jpg,,0,"Action,Adventure,Drama,Family",,45325,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,Walt Disney Pictures,US,1995-12-22,0,97,Released,Tom and Huck
8,False,/y6A4PUAD61r15CgtuuQhWxLh6Vx.jpg,,35000000,"Action,Adventure,Thriller,Drama",,9091,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,/ridz4IucWay8dBP5t68rGYykCvi.jpg,"SHATTERED PRODUCTIONS,Universal Pictures,Imperial Entertainment,Signature Entertainment",US,1995-10-27,64350171,106,Released,Sudden Death
9,False,/sIuZYKo7UySIeBMvd9saK7ibw4z.jpg,James Bond Collection,58000000,"Adventure,Action,Thriller",http://www.mgm.com/view/movie/757/Goldeneye/,710,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,"Eon Productions,United Artists","GB,US",1995-11-16,352194034,130,Released,GoldenEye
