,birthday,known_for_department,deathday,id,name,gender,biography,place_of_birth,profile_path
0,1962-01-01,Acting,,103119,Mapi Galán,1,,"Ponferrada, León, Castilla y León, Spain",/mEyTfjw6ihF4KlezIq5WEzKyqpf.jpg
1,1956-01-02,Acting,,60118,John Bedford Lloyd,2,,"New Haven, Connecticut, USA",/oEBXW5cLQ1e2LrPaIug8DwHcSXV.jpg
2,,Acting,,1117324,Brian Tenenbaum,0,,,
3,,Acting,,30881,Justin Walker,0,,,/1uJ5LdYxyqcXQ0MG64cj7WqM9eU.jpg
4,1969-07-03,Acting,,2138,Shawnee Smith,1,"An American film and television actress and musician. Smith is best known for her roles as Amanda Young in the Saw films and Linda in the CBS sitcom Becker. Smith once fronted the metal band Fydolla Ho, with which she toured the United States and the United Kingdom, and is half of Smith & Pyle, a desert country-rock band, with actress Missi Pyle. Shawnee Smith is the second child of Patricia, an oncology nurse, and Jim Smith, a financial planner and former US Air Force pilot. The family relocated from South Carolina to Van Nuys, California, when she was a year old; her parents divorced when she was two; and her mother remarried when she was eight. She attended Ranchito Avenue Elementary School in Panorama City, Los Angeles and Madison Jr. High in North Hollywood. Then attended North Hollywood High School in North Hollywood, California, and graduated in 1987. Her height is 5' 3"" (1,60 m).

Description above from the Wikipedia article Shawnee Smith, licensed under CC-BY-SA, full list of contributors on Wikipedia. ​","Orangeburg, South Carolina, USA",/yx1HYEalFsiNVc2imDDfhIZthkn.jpg
5,1942-03-29,Acting,2018-10-06,6914,Scott Wilson,2,"Scott Wilson (March 29, 1942-October 6, 2018) was an American film and television actor.

Wilson has more than 50 film credits from the 1960s to the 2010s, including In the Heat of the Night, In Cold Blood, The Great Gatsby, Dead Man Walking, Pearl Harbor, and Junebug.In 1980, Wilson received a Golden Globe nomination for Best Supporting Actor – Motion Picture for his role in The Ninth Configuration.From 2011 to 2013, Wilson was a main cast member on the AMC television series, The Walking Dead,in which he played veterinarian and Greene family patriarch Hershel Greene. Wilson was well-known especially for his recurring role on CSI: Crime Scene Investigation as casino mogul Sam Braun, the father of investigator Catherine Willows.","Atlanta, Georgia, USA",/uAPQD3zXThKHXaYELx3ePSzeWwM.jpg
6,1947-05-18,Acting,,42003,Gail Strickland,1,"From Wikipedia, the free encyclopedia.

Gail Strickland (born May 18, 1947) is an American character actress.

Strickland was born in Birmingham, Alabama, the daughter of Theodosia and Lynn Strickland, who owned a tire shop. She had featured roles in 1970s films such as Bound for Glory, The Drowning Pool and Norma Rae.

In a memorable Drowning Pool scene, Strickland and Paul Newman are trapped in a room filling with water from floor to ceiling, stripped to their underwear, with no apparent escape.

Strickland appeared on the U.S. Navy series JAG first season episode ""War Crimes"". She played Ambassador Bartlett, the U.S. ambassador to Peru.

She appeared in the pilot episode of the television series Night Court as the public defender. She guest starred in the Star Trek: Deep Space Nine episode ""Paradise"" as the character Alixus.

In 1994-1995, she appeared as Ms. Landis of Doubleday in the Seinfeld Season 6 episodes ""The Chaperone"" and ""The Switch"".

Strickland played nurse practitioner Marilyn McGrath in the 1988 TV series HeartBeat. This was one of the earliest portrayals of a lesbian character on American network television.

She also had a memorable appearance on the television series M*A*S*H as Captain Helen Whitfield, a nurse in an ongoing battle with alcoholism. She appeared in 11 episodes of Dr. Quinn, Medicine Woman from 1993-94 as the character Olive Davis.

She played Esther MacInerney, the wife of A.J. MacInerney (Martin Sheen), Chief of Staff for President Andrew Shepherd (Michael Douglas), in the 1995 blockbuster movie The American President, which also starred Annette Bening, Michael J. Fox, and Richard Dreyfuss.

Strickland was a cast member in the brief run of the 2002 CBS television series First Monday, playing a Supreme Court justice.

Description above from the Wikipedia article Gail Strickland, licensed under CC-BY-SA, full list of contributors on Wikipedia.​","Birmingham, Alabama, U.S.",/pT9Tb2f07joxd7KYPLucak7X8J0.jpg
7,1955-03-05,Acting,,37221,Penn Jillette,2,"Penn Jillette is an American magician, juggler, comedian, musician, inventor, actor, and best-selling author known for his work with fellow magician Teller as half of the team Penn &amp; Teller.","Greenfield, Massachusetts, United States",/zmAaXUdx12NRsssgHbk1T31j2x9.jpg
8,1943-02-09,Acting,,4517,Joe Pesci,2,"Joseph Frank “Joe” Pesci (born February 9, 1943) is an American actor, comedian, singer and musician. He is known for his roles as violent mobsters, funnymen, comic foils and quirky sidekicks. Pesci has starred in a number of high profile films such as Goodfellas, Casino, Raging Bull, Once Upon a Time in America, My Cousin Vinny, Easy Money, JFK, Moonwalker, Home Alone, Home Alone 2: Lost in New York, and the 2nd, 3rd, and 4th Lethal Weapon films. In 1990, Pesci won the Academy Award for Best Supporting Actor for his role as the psychopathic mobster Tommy DeVito in Goodfellas, ten years after receiving a nomination in the same category for Raging Bull.","Newark, New Jersey, USA ",/2CaYAhUZgkAeqtpIzuqGcqArsOy.jpg
9,1968-04-06,Acting,,465117,Ari Meyers,1,,,/pU5CiINTdUCFscg47WEUqdeVbMR.jpg
10,,Acting,,148591,Hayley Kolb,0,,,
11,1937-06-28,Acting,2006-02-18,3174,Richard Bright,2,"​From Wikipedia, the free encyclopedia.  

Richard J. Bright (June 28, 1937 – February 18, 2006) was an American actor best known for his role as Al Neri in the The Godfather films.

Description above from the Wikipedia article Richard Bright, licensed under CC-BY-SA, full list of contributors on Wikipedia.","Brooklyn, New York, USA",/k2P17sxGhh7Dafidxn9Ub5YbF7n.jpg
12,1962-03-08,Acting,,12974,Leon,2,"Leon Preston Robinson IV (usually credited as simply ""Leon"") is an American actor and singer, who began his professional career as an actor in 1981.","New York City, New York, USA",/ctcZ94ykGlCSh0s8QwRkYPCKAsq.jpg
13,1931-09-21,Acting,2012-11-23,6840,Larry Hagman,2,"Larry Hagman was an American television and screen actor, as well as director and producer, best known for playing Major Anthony 'Tony' Nelson in the 1960s sitcom I Dream of Jeannie and J.R. Ewing in the 1980s primetime television soap opera Dallas. His mother was actress, singer, and Broadway star Mary Martin.","Fort Worth, Texas, USA",/40PVsGp5Wp5kbUhAefLHqjqbarc.jpg
14,,Acting,,95145,Patricia Healy,1,,,/RsHWe8vW3Hzbp8FeeEVqOD6Kux.jpg
15,1954-05-08,Acting,,18181,David Keith,2,"David Lemuel Keith (born May 8, 1954, height 5' 11"" (1,80 m)) is an American actor and director. He received Golden Globe nominations for Best Supporting Actor and New Star of the Year – Actor for his performance in An Officer and a Gentleman.

Description above from the Wikipedia article David Keith, licensed under CC-BY-SA, full list of contributors on Wikipedia.",Knoxville - Tennessee - USA,/v1b7NQqJifk7xgt9HOGh0lvfkbP.jpg
16,1941-06-15,Acting,,32289,Andy Romano,2,"​From Wikipedia, the free encyclopedia.  

Andy Romano is an American actor, known for playing ""J.D."" in the 1960s Beach Party movies (which starred Annette Funicello and Frankie Avalon).

When the Beach Party saga ended, Romano went through much of the 1970s and 80s appearing in minor roles in television episodes and some TV movies. In the late 1980s, he returned to film in supporting roles.

Description above from the Wikipedia article Andy Romano,  licensed under CC-BY-SA, full list of contributors on Wikipedia.",USA,/maQYk63vsymyolmJBHEsBmv3KxR.jpg
17,,Acting,,174461,Katy Carmichael,0,,,/emnO1QR8sFDdckVIR835uOLr6Rd.jpg
18,1971-09-08,Acting,,15234,David Arquette,2,"From Wikipedia, the free encyclopedia.

David Arquette (born September 8, 1971) is an American actor, film director, producer, screenwriter, fashion designer, and occasional professional wrestler. A member of the Arquette acting family, he first became known during the late 1990s after starring in several Hollywood films, including the Scream series. He has since had several television roles, including playing ""Jason Ventress"" on ABC's In Case of Emergency. In addition to his acting career Arquette took a brief foray into professional wrestling in early 2000, competing for World Championship Wrestling (WCW). During his tenure, Arquette would become a one-time WCW World Heavyweight Champion, an angle which has been cited by prominent professional wrestling commentators as being pivotal to the degradation of the title and the demise of WCW.

Description above from the Wikipedia article David Arquette, licensed under CC-BY-SA, full list of contributors on Wikipedia","Winchester, Virginia, USA",/p5l4pnL9xhbHiKSipcdsCekoD52.jpg
19,,Acting,,19704,Nick Bartlett,2,,,/gup3bUaA5IokhbF1511vS6T2AoR.jpg
20,1958-06-17,Acting,,1093379,Daniel McVicar,2,,,/AoykcLK6G7oFD7oWp6ZJn1s2pZP.jpg
21,1962-11-18,Acting,,40275,Tim Guinee,2,"From Wikipedia, the free encyclopedia.

Timothy S. ""Tim"" Guinee (born November 18, 1962) is an American stage, television, and feature film actor,","Los Angeles, California, USA",/rS2K7cJx6Vm2buE0HhIUp9tuC1g.jpg
22,,Acting,,233294,Sarah-Jane Wylde,0,,,
23,1970-03-25,Acting,,1201332,Kaela Dobkin,1,"Kaela Dobkin was born on March 25, 1970 as Kaela Anne Dobkin. She is an actress and producer, known for Models Inc. (1994), House (2004) and Kicking and Screaming (1995). She has been married to Austin Smithard since March 11, 2003.",,
24,1920-01-01,Acting,2006-10-17,1362557,Chen Shu,2,,"Shanghai, China",/sNW7cLiG5WOXqs3mMLsPbEMr9Iv.jpg
25,,Acting,,33497,Jane Alden,0,,,/8j9G5OuDATi1Qief6xawo5TiAES.jpg
26,1950-04-17,Acting,,29051,L. Scott Caldwell,1,"Laverne Scott Caldwell (born April 17, 1950) is an American actress known for her role as Rose on Lost.

Caldwell, who earned a degree in Theater Arts and Communications from Loyola University Chicago, has an extensive background in feature films, television and theater. Her film credits include Mystery Alaska, Waiting to Exhale, The Net, The Fugitive, Dutch and Without a Trace. Caldwell had recurring roles on Judging Amy, and has guest-starred in JAG, Chicago Hope, City of Angels and Promised Land, all on CBS. Her additional television credits include The Practice, The Division, Any Day Now, Murder One, The Pretender, Grace Under Fire, Melrose Place, Lois and Clark, ER, Nip/Tuck, L.A. Law, Ghost Whisperer, Cold Case, Saving Grace, State of Mind, and The Cosby Show.

On Broadway, Caldwell won a 1988 Tony Award for her role in Joe Turner's Come and Gone. Her other Broadway credits include Proposals, A Month of Sundays and Home. She has also appeared off Broadway in About Heaven &amp; Earth, Colored People's Time, Old Phantoms, A Season to Unravel, and The Imprisonment of Obatala.

Her most recent appearances have been in the television series Southland and The Secret Life of the American Teenager, and films Powder Blue, Like Dandelion Dust, and Gridiron Gang. Caldwell recently appeared on Lost in a recurring capacity. According to the Season 2 DVD featurettes, her husband was going through health problems during the shooting of the first season. Her husband's story inspired her character's story in her focused episode, S.O.S.

Description above from the Wikipedia article L. Scott Caldwell, licensed under CC-BY-SA, full list of contributors on Wikipedia",Chicago - Illinois - USA,/p5W9yIDt269Tb4KMMKI8AeO4jJi.jpg
27,1939-01-08,Acting,2014-01-29,99854,John LaMotta,2,," Brooklyn, New York, USA",/w16IrWfbhXDXiv01vUOglcIzLxt.jpg
28,,Acting,,1644894,Alfred Nittoli,2,,,/qxyUcJpsXm1lqS1SSGCMeaks82q.jpg
29,1955-06-02,Acting,,1218331,Vickilyn Reynolds,1,,"Philadelphia, Pennsylvania, USA ",/k0Ep93kRod13ExtSMYY1QADBY96.jpg
30,1953-02-17,Acting,,59206,Becky Ann Baker,1,"Becky Ann Baker (born February 17, 1953) is an American actress who is known for her portrayal of Jean Weir on NBC's Emmy Award-winning ""Freaks and Geeks"" and for her role as Loreen Horvath on HBO's Emmy Award-winning ""Girls"".

Description above from the Wikipedia article Becky Ann Baker, licensed under CC-BY-SA, full list of contributors on Wikipedia.","Fort Knox, Kentucky, USA",/9gvQnoCjPirtC656XmKqex3tLAn.jpg
31,1959-09-17,Acting,,57255,Keith Cooke,2,"Keith Cooke is a man of many qualities, accomplished in the arts of Wushu, Tae Kwon Do and Karate.

He started his WuShu training in 1973, under Roger Tung. In 1980 he went to China and he trained for 5 hours a day and entered the competition circuit in 1983. He immediately gained a second place in both Weapons and Forms Divisions (lost to George Chung). But next year he was number 1, and in 1985 people knew him as the Martial Artist of the year."," Seattle, Washington, USA",
32,1943-10-20,Acting,2017-10-11,176132,Trevor Byfield,2,"Trevor Byfield was a British stage, film and television actor. In the early 1970s, he was known under the name Ziggy Byfield for participating in rock musicals, before he focused on straight acting, for which he reverted to his given name.","Redditch, Worcestershire, England, UK",/5gaPUQZ6YNnrojtGd8txxCBmVNX.jpg
33,,Acting,,154001,Jermaine Montell,2,,,/aUIRwaEQl8lgfG4A5v5PnePT9QV.jpg
34,,Acting,,1073828,Gypsy Spheeris,0,,,
35,1951-12-01,Acting,,4515,Treat Williams,2,"A Screen Actors Guild Award-nominated American actor who has appeared on film, stage and television. From 2002 to 2006, he was the star of the television series Everwood.","Rowayton, Connecticut, USA",/1P7n6yuzuWniXdPF03DrCExxYao.jpg
36,,Acting,,1527765,Monica Eva Foster,0,,,/fu8Iq6xKpU0Bm3SU7jsD49FFysG.jpg
37,1955-12-16,Acting,,3982,Xander Berkeley,2,"Alexander Harper ""Xander"" Berkeley (born December 16, 1955) is an American actor. His roles include George Mason on the television series 24.","Brooklyn, New York City, New York, USA",/vlZ9FDMk2Xd1WHixPKxnheZoXgR.jpg
38,,Acting,,1191341,Thomas McGowan,2,,,
39,1941-08-12,Acting,,13314,Dana Ivey,1,"Dana Ivey was born in Atlanta, Georgia. She decided at age six that she wanted to act, and throughout school she pursued it. She majored in theatre at Rollins College in Florida. She received a grant to study drama in England at the London Academy of Music and Art. She has received critical acclaim on the stage, winning many honors, such as a Tony Nomination, an Outer Critics award, a Drama Desk Award. She has appeared on such television shows as ""Law &amp; Order"" (1990) and ""Frasier"" (1993). She currently lives in New York City.

IMDb Mini Biography By: Matt Dicker"," Atlanta, Georgia, USA",/12mxrB5iT1TAwCzIZvmcFGLBQ52.jpg
40,1939-01-05,Directing,,1149435,Piro Milkani,0,,,/dTPj82a3Hmyh1keTsOIRAl8fNse.jpg
